13	Masibambane Secondary	-33.58044724	25.42419584	42 Main Road, Newcastle	0720972133	contact@masibambanesecondary.edu.za	Mr. Ndlovu	t	2025-04-03 12:01:13.454982+00	Secondary School
56	Nceduluntu	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:28.288712+00	ECDC
35	Nomtha	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.464462+00	ECDC
30	Nonkqubela	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.361322+00	ECDC
31	Pawulosi Oyingcwele	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.379146+00	ECDC
27	Qaqawuli Godolozi	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.341536+00	ECDC
47	Rise and Shine	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.78453+00	ECDC
48	Sakha Abantwa	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.798589+00	ECDC
64	Sandwater	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:28.590167+00	Primary School
74	Sapphire	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:29.175028+00	Primary School
62	Seyisi	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:28.456504+00	Primary School
29	Sinethemba	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.356113+00	ECDC
23	Sisonke	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.269656+00	ECDC
60	Sivuyiseni	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:28.384973+00	Primary School
42	Siyabulela	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.678196+00	ECDC
65	Siyazama	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:28.599924+00	ECDC
45	St Mary Magaldene	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.76528+00	ECDC
72	Strelitzia	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:29.162806+00	Primary School
26	Zizamele	\N	\N	\N	\N	\N	\N	t	2025-04-15 18:56:27.29555+00	ECDC
\.


